iter	Passed	Remaining
406	7533	10976
407	7551	10957
408	7571	10940
409	7592	10925
410	7613	10911
411	7631	10891
412	7664	10893
413	7682	10874
414	7700	10854
415	7718	10835
416	7735	10814
417	7754	10796
418	7773	10778
419	7793	10762
420	7812	10744
421	7830	10725
422	7849	10707
423	7866	10686
424	7882	10664
425	7900	10645
426	7918	10625
427	7938	10608
428	7957	10591
429	7976	10573
430	7996	10557
431	8015	10539
432	8033	10520
433	8052	10501
434	8071	10483
435	8090	10466
436	8109	10448
437	8127	10427
438	8146	10411
439	8164	10390
440	8181	10371
441	8200	10352
442	8220	10336
443	8238	10317
444	8256	10297
445	8274	10278
446	8292	10258
447	8309	10238
448	8327	10219
449	8345	10199
450	8363	10180
451	8381	10161
452	8400	10143
453	8418	10124
454	8434	10103
455	8451	10082
456	8469	10062
457	8495	10053
458	8518	10040
459	8538	10023
460	8557	10005
461	8576	9987
462	8596	9970
463	8616	9953
464	8637	9938
465	8656	9919
466	8676	9902
467	8694	9883
468	8711	9863
469	8727	9841
470	8740	9817
471	8755	9794
472	8770	9772
473	8786	9750
474	8801	9727
475	8816	9705
476	8831	9683
477	8846	9660
478	8861	9638
479	8878	9618
480	8893	9596
481	8909	9574
482	8924	9553
483	8941	9532
484	8957	9511
485	8975	9492
486	8991	9471
487	9006	9449
488	9022	9428
489	9038	9407
490	9054	9386
491	9073	9368
492	9088	9346
493	9103	9324
494	9119	9303
495	9136	9284
496	9151	9262
497	9167	9240
498	9183	9220
499	9199	9199
500	9216	9179
501	9232	9158
502	9249	9138
503	9264	9117
504	9279	9095
505	9295	9074
506	9311	9054
507	9325	9032
508	9341	9011
509	9357	8990
510	9371	8968
511	9385	8945
512	9400	8924
513	9417	8904
514	9432	8883
515	9447	8861
516	9463	8841
517	9478	8819
518	9493	8798
519	9509	8778
520	9531	8762
521	9550	8745
522	9565	8724
523	9581	8703
524	9598	8683
525	9614	8664
526	9629	8643
527	9646	8623
528	9663	8603
529	9679	8583
530	9694	8562
531	9710	8542
532	9726	8522
533	9741	8501
534	9755	8479
535	9772	8460
536	9788	8439
537	9802	8417
538	9817	8396
539	9832	8376
540	9848	8355
541	9865	8336
542	9882	8317
543	9898	8297
544	9914	8277
545	9929	8256
546	9943	8234
547	9959	8214
548	9975	8195
549	9991	8174
550	10008	8155
551	10022	8134
552	10041	8116
553	10056	8096
554	10071	8075
555	10088	8056
556	10105	8037
557	10120	8016
558	10136	7996
559	10152	7977
560	10167	7956
561	10183	7936
562	10200	7917
563	10215	7897
564	10230	7876
565	10245	7856
566	10260	7835
567	10276	7815
568	10293	7796
569	10309	7777
570	10325	7757
571	10339	7736
572	10354	7716
573	10369	7695
574	10384	7675
575	10399	7655
576	10417	7636
577	10431	7616
578	10447	7596
579	10462	7576
580	10477	7555
581	10493	7536
582	10508	7516
583	10523	7496
584	10537	7475
585	10556	7458
586	10577	7442
587	10595	7424
588	10611	7404
589	10625	7383
590	10642	7364
591	10656	7344
592	10672	7324
593	10688	7305
594	10703	7285
595	10720	7266
596	10737	7248
597	10752	7228
598	10768	7208
599	10783	7188
600	10799	7169
601	10815	7150
602	10831	7131
603	10848	7112
604	10864	7093
605	10879	7073
