time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-08T13:26:41.870Z,34.3128,81.7049,10,4.3,mb,,84,7.039,1.32,us,us7000eb4l,2021-08-24T21:34:16.040Z,"western Xizang",earthquake,7.8,1.9,0.133,18,reviewed,us,us
2021-06-08T12:53:06.768Z,49.129,155.3427,52.79,4.9,mb,,81,4.251,0.58,us,us7000eb47,2021-08-24T21:34:17.040Z,"180 km SSW of Severo-Kuril’sk, Russia",earthquake,9.1,6.8,0.038,214,reviewed,us,us
2021-06-08T10:56:37.586Z,-5.2457,151.3165,134,5.7,mww,,21,1.17,0.57,us,us7000eb30,2021-08-24T21:34:18.040Z,"134 km ENE of Kimbe, Papua New Guinea",earthquake,7,1.9,0.043,52,reviewed,us,us
2021-06-08T09:40:42.050Z,18.7223,-65.279,53,3.47,md,10,282,0.4148,0.38,pr,pr2021159008,2021-06-08T10:46:10.671Z,"46 km N of Culebra, Puerto Rico",earthquake,3.76,5.13,0.17,5,reviewed,pr,pr
2021-06-08T09:39:19.963Z,-4.2379,128.8993,121.37,4.1,mb,,117,3.59,0.44,us,us7000ec4g,2021-08-24T21:33:15.040Z,"99 km S of Amahai, Indonesia",earthquake,9.9,15.3,0.213,6,reviewed,us,us
2021-06-08T09:30:09.779Z,31.67688196,-104.3890014,7.391259766,2.8,ml,34,55,0.09564290685,0.3,tx,tx2021ldkh,2021-08-24T21:34:18.040Z,"55 km S of Whites City, New Mexico",earthquake,0.9681464514,1.386341167,0.1,17,reviewed,tx,tx
2021-06-08T09:15:52.250Z,-8.0164,-11.6161,10,4.2,mb,,106,2.719,0.47,us,us7000ec4f,2021-08-24T21:33:15.040Z,"Ascension Island region",earthquake,9.2,1.9,0.187,8,reviewed,us,us
2021-06-08T09:09:22.780Z,19.5368,-63.7621,44,4.19,md,24,321,1.9552,0.42,pr,pr2021159007,2021-08-24T21:34:18.040Z,"163 km NNW of The Valley, Anguilla",earthquake,3.34,24.54,0.1,11,reviewed,pr,pr
2021-06-08T07:59:22.300Z,5.8917,-82.8174,10,4.4,mb,,181,2.551,0.63,us,us7000eb28,2021-08-24T21:34:19.040Z,"236 km S of Punta de Burica, Panama",earthquake,9.7,2,0.139,15,reviewed,us,us
2021-06-08T07:52:30.239Z,-17.936,-178.2345,520.71,4.2,mb,,122,3.541,0.57,us,us7000eb26,2021-08-24T21:34:19.040Z,"259 km E of Levuka, Fiji",earthquake,14,9.3,0.09,34,reviewed,us,us
