iter	Logloss
0	0.5978543493
1	0.5319835136
2	0.4816129998
3	0.437958328
4	0.4047981309
5	0.3770496075
6	0.352695156
7	0.3350616241
8	0.3214767274
9	0.3097997949
10	0.2985762346
11	0.2871268806
12	0.2770326084
13	0.2703532889
14	0.2605262873
15	0.2558977824
16	0.2500053383
17	0.2456511363
18	0.2382498063
19	0.2339266013
20	0.2291298574
21	0.2253198605
22	0.2223440052
23	0.2198490137
24	0.2170860321
25	0.2113003012
26	0.2079683651
27	0.2052161129
28	0.2027650979
29	0.1980608589
30	0.1966387714
31	0.1957961376
32	0.1932273081
33	0.1906736842
34	0.1890200668
35	0.1875492146
36	0.1867549435
37	0.1861088679
38	0.1849879469
39	0.1828803526
40	0.1823411063
41	0.1801863466
42	0.1792376359
43	0.1770868992
44	0.1755583371
45	0.1745647714
46	0.1724705913
47	0.1713535274
48	0.1697709034
49	0.1693744696
50	0.1686050152
51	0.1677748061
52	0.1670740851
53	0.1665750816
54	0.1652821626
55	0.1648418781
56	0.1636702136
57	0.1623084215
58	0.161823258
59	0.1611331306
60	0.1607010477
61	0.1604260746
62	0.1590178471
63	0.1579571144
64	0.1575118923
65	0.1572751254
66	0.157062905
67	0.1564392139
68	0.1562390374
69	0.1559171927
70	0.1554528092
71	0.1544786424
72	0.154126899
73	0.153920634
74	0.1529231115
75	0.1522513208
76	0.1520642801
77	0.1518302767
78	0.151576917
79	0.1514182607
80	0.1511729952
81	0.1504804166
82	0.1497697983
83	0.1496174546
84	0.1491550022
85	0.1489666993
86	0.1488055667
87	0.1486815144
88	0.1483696707
89	0.1481946796
90	0.1480115833
91	0.1478898337
92	0.1476367913
93	0.1475045085
94	0.1467681221
95	0.1465901632
96	0.1464557145
97	0.1453390527
98	0.1450182017
99	0.1443030585
100	0.1439819959
101	0.143800262
102	0.1434763619
103	0.1433648894
104	0.141882292
105	0.1417180963
106	0.1407038859
107	0.1405572046
108	0.1397205385
109	0.1396039809
110	0.138526396
111	0.1383907562
112	0.138008795
113	0.1378477687
114	0.137617061
115	0.1373616945
116	0.1371999315
117	0.1368761888
118	0.1357110411
119	0.1355913749
120	0.1353792711
121	0.1350830625
122	0.1346447377
123	0.1344362078
124	0.134329914
125	0.1340984413
126	0.1336132413
127	0.1335384202
128	0.1333802327
129	0.1332533578
130	0.1330033479
131	0.1328390688
132	0.1327342453
133	0.1320514167
134	0.1317256186
135	0.1314233469
136	0.1308722642
137	0.1304455211
138	0.1301409517
139	0.1299953599
140	0.129726208
